id,title,type,agency,incident_date,incident_location,featured,redacted,sha256,size_bytes,source_url,dvids_video_id,description
DOE-UAP-D004,"DOE-UAP-D004, Los Alamos Conference on Aerial Phenomena, 1949",PDF,Department of Energy,3/22/49,New Mexico,Yes,No,64f70db72f3747cfdc512f78f16b0ac33a0876b39dbf7dddf07ab870ba1b1a47,5192634,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOE-UAP-D004_Los-Alamos-Conference-on-Aerial-Phenomena_1949.pdf,,"This document is a transcript of a 1949 conference held at Los Alamos Scientific Laboratory (now Los Alamos National Laboratory), Los Alamos, New Mexico. Attendees included several eminent scientists and physicists, many of whom had contributed to the development of the first nuclear weapons during the Manhattan Project. The purpose of the conference was to discuss and gather hypotheses to account for the nature and origin of a phenomenon involving “green fireballs” that had been reported over a period of several months in the vicinity of the laboratory. The group did not come to a consensus on a likely attribution for the phenomenon, though a leading hypothesis was that the observations may have been related to meteors entering the atmosphere at a shallow angle and high altitude. Dr. Edward Teller suggested that if not a “material body,” an “electron phenomenon” might be the cause, while Dr. Lincoln LaPaz, an expert specializing in meteorics, expressed that “nothing like this, to [his] knowledge, has ever been observed in the case of meteorite drops.”"
DOW-UAP-D094,"DOW-UAP-D094, Analysis of Flying Object Incidents in the United States, 1949",PDF,Department of War,4/28/49,Virginia,Yes,No,59a30983288868000d7c82bf863a2af475834ad14b984fbe9e4b8bd521aaa1cb,15099002,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D094_Analysis-of-Flying-Object-Incidents-in-the-US_1949.pdf,,"This file contains a U.S. Air Force (USAF) Air Intelligence Division study, “Analysis of Flying Object Incidents in the United States,” Study No. 203, dated 04/28/1949. The analysis includes an assessment of various reported unidentified flying object (UFO) incidents and theories to account for their nature and origin. Overall, the study assesses that “it appears that some object has been seen; however, the identification of that object cannot be readily accomplished.” The study offers that two “reasonable” origins might account for the phenomena: technologies of a domestic or foreign origin. It also suggests that, if foreign, it is prudent for the United States to assume that UFO observations are attributable to scientific, military, or intelligence activities of the Soviet Union, and, in that case, to take seriously the threat such objects may pose. The file also contains selected contemporary UFO reports and examples of experimental “flying wing” type aircraft planforms that might account for certain commonly reported UFO characteristics.

AARO Comment: This file appears to be a later revision of the file contained in DOW-UAP-D093, whose content is substantively similar."
DOW-UAP-D097,"DOW-UAP-D097, Project Sign Progress Report, 1948",PDF,Department of War,1948,Various,Yes,No,4e191615a53faf81a49721ec594aee5f8c909026348a830025329d847a857e60,10240953,https://www.war.gov/medialink/ufo/071026/release_04/documents/DOW-UAP-D097_Project-Sign-Progress-Report_1948.pdf,,"This file contains an initial report from the Air Materiel Command regarding Project Sign. Project Sign was a 1948-1949 U.S. Air Force program to investigate the nature and origin of unidentified flying objects (UFO). The report details 100 UFO sightings from 1947-1948. The file also contains an article excerpted from “The Aeroplane,” an aviation-focused periodical magazine published between 1911 and 1968, titled “The Biology of the Flying Saucer.”"
DOW-UAP-PR104,"DOW-UAP-PR104, Unresolved UAP Report, Yellow Sea, 2025",VID,Department of War,2025,Yellow Sea,Yes,Yes,6727648ee0f9f94d03fb0887a6ca05349a7b9711b9210e3eac1059cf592c4804,7959105,,1014101,"The United States Indo-Pacific Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 18 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2025.

Video Description: 
00:01-00:15: The sensor pans to track an area of contrast resembling a six-pointed star, keeping it generally centered within the center of the screen.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR105,"DOW-UAP-PR105, Unresolved UAP Report, East China Sea, 2025",VID,Department of War,2025,East China Sea,Yes,Yes,d70f3d3ba21816d03fe183a50e87b9e9e3705e9b6a90c0b6fe17e603e3cf2447,152678024,,1014103,"The United States Indo-Pacific Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 5 minutes of video footage from an infrared sensor aboard a U.S. military platform in 2025.

Video Description: 
00:01-00:14: The sensor pans to track an area of contrast, keeping it generally centered within the center of the frame.
00:15-00:19: The sensor adjusts, and the image is momentarily overlaid with black rectangular areas.
00:20-1:34: The sensor pans to track an area of contrast, keeping it generally centered within the center of the frame. Portions of the area of contrast intermittently lose distinctiveness against the background throughout this segment.
01:35-02:05: The sensor zooms in, panning from right to left to track the area of contrast. The area of contrast exits the scene from the right edge of the frame several times. 
02:06-04:59: The sensor zooms out and in several times, and pans the field-of-view against the background. No content.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR113,"DOW-UAP-PR113, Unresolved UAP Report, Western United States, 1996",VID,Department of War,1996,Western United States,Yes,Yes,167e2e8004002940469bfe49902806271122fe9f82152e109a922188beb9d939,67179987,,1014119,"The United States Navy Unidentified Anomalous Phenomena Task Force (UAPTF) transferred this media to the All-domain Anomaly Resolution Office (AARO) in 2022. The video contains 2 minutes and 57 seconds of footage likely captured by an infrared sensor aboard a U.S. military platform in 1996.

Video Description: No formal data handling practices for UAP-related records existed at the time this media was reported to the UAPTF. This media was digitally altered before being reported to the UAPTF, and is presented as it was received by AARO.
00:01-00:13: No content.
00:14-00:17: An area of contrast transits the sensor field-of-view, entering near the upper right corner and exiting near the lower left corner of the frame.
00:18-01:21: The footage repeats frame-by-frame.
01:22-02:13: The footage repeats at a slower playback speed.
02:14-02:56: The footage holds on a frame extracted from the first 17 seconds of the video.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
DOW-UAP-PR115,"DOW-UAP-PR115, Unresolved UAP Report, Gulf of America, 2019",VID,Department of War,2019,Gulf of America,Yes,Yes,eb14f691927f444f6085a105b25fd18554d3154d3e98f10c66a6ae708113fd37,10884920,,1014123,"The United States Air Force submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 8 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2019.

00:01-00:02: An area of contrast is visible near the center of the sensor field-of-view, partially obscured by visual elements of the heads-up display.
00:03-00:06: The sensor zooms and pans to track the area of contrast, which visually flickers in the display.
00:07-00:08: No content.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.

AARO Comment: Infrared sensor systems capture information within a specific range of electromagnetic wavelengths. When a tracked source’s temperature is similar to that of the surrounding environment, it can visually blend into the background or appear to flicker due to dynamic contrast adjustments applied by the system’s auto-gain control filters."
NASA-UAP-D030,"NASA-UAP-D030, STS-80 Unidentified Object Image 1, 1996",IMG,NASA,1996,Low-Earth Orbit,Yes,No,470fd8bd96a25532e57bb5d97c2ca64e81651970a179b0bec3d7aed625ae6a2f,1398967,https://www.war.gov/medialink/ufo/071026/release_04/documents/NASA-UAP-D030_STS-80-Unidentified-Object-Image1_1996.jpg,,"During STS-80, between November 19 and December 7, 1996, astronauts aboard Space Shuttle Columbia captured a series of three images of an unidentified object in low-Earth orbit. In the first photograph, the object is visible near the center of the frame, to the right of the limb of the Earth."
NASA-UAP-D031,"NASA-UAP-D031, STS-80 Unidentified Object Image 2, 1996",IMG,NASA,1996,Low-Earth Orbit,Yes,No,4733b16c778046f805e7d32a8a0f891b88e3e22fa32c7595ce3e0065f985e9bf,1543284,https://www.war.gov/medialink/ufo/071026/release_04/documents/NASA-UAP-D031_STS-80-Unidentified-Object-Image2_1996.jpg,,"During STS-80, between November 19 and December 7, 1996, astronauts aboard Space Shuttle Columbia captured a series of three images of an unidentified object in low-Earth orbit. In the second photograph, the object is visible near the center of the frame, to the right of the limb of the Earth. It appears to have rotated or tumbled about its major axis, which is consistent with the behavior of a free-floating object."
NASA-UAP-D032,"NASA-UAP-D032, STS-80 Unidentified Object Image 3, 1996",IMG,NASA,1996,Low-Earth Orbit,Yes,No,ce516248f7256442dead32720b80481d0a39c2c167a95b0643295bcb7c5803e7,1412864,https://www.war.gov/medialink/ufo/071026/release_04/documents/NASA-UAP-D032_STS-80-Unidentified-Object-Image3_1996.jpg,,"During STS-80, between November 19 and December 7, 1996, astronauts aboard Space Shuttle Columbia captured a series of three images of an unidentified object in low-Earth orbit. In the third photograph, the object is visible near the center of the frame, superimposed against the Earth. It appears to have continued along a trajectory passing between Columbia and the Earth."
